March of the Eagles,Paradox Development Studio,Paradox Interactive,0,Single player/Multi player
Dynasty Warriors 7,Omega Force,Tecmo Koei,0,"Single-player, Multiplayer"
Ratchet & Clank: Full Frontal Assault,"Insomniac Games
Tin Giant (PS Vita version)",Sony Computer Entertainment,0,"Single-player, co-op"
The Guided Fate Paradox,Nippon Ichi Software,NIS America,0,Single-player
Escape Plan,"Fun Bits Interactive
Wholesale Algorithms(PS4)",Sony Computer Entertainment America,0,Single-player
Halo: Spartan Assault,"343 Industries
Vanguard Entertainment",Microsoft Studios,0,Single-player
Monaco: What's Yours Is Mine,Pocketwatch Games,Majesco Entertainment (XBLA),0,"Single-player, multiplayer"
We Sing 80s,Le Cortex,Nordic Games Publishing AB,0,"Single-player, Multi-player"
Forza Motorsport 5,Turn 10 Studios,Microsoft Studios,0,"Single-player, split-screen, online multiplayer"
Ride to Hell: Retribution,Eutechnyx,Deep Silver,0,Single-player
Flow,"Thatgamecompany
SuperVillain Studios (PSP/PSV/PS4)",Sony Computer Entertainment (PS3/PSP),0,"Single-player
multiplayer (PS versions)"
Sonic & Sega All-Stars Racing,"Sumo Digital
Gameloft (mobile)
Feral Interactive (Mac OS X)","Sega, Feral Interactive (Mac OS X) [1]",0,"Single-player, Multiplayer"
Cities in Motion 2,Colossal Order,Paradox Interactive,0,"Single-player, Multiplayer"
Baldur's Gate: Enhanced Edition,Overhaul Games,Atari,0,"Single-player, multiplayer"
MLB 13: The Show,SCE San Diego Studio,Sony Computer Entertainment,0,"Single-player
Multiplayer"
Warface,Crytek Kiev,"CH Tencent Holdings
SK Tencent Holdings
TW Tencent Holdings
CIS Mail.Ru
NA Trion Worlds
EU Trion Worlds
AU Trion Worlds
NZ Trion Worlds
SK Nexon
WW Microsoft Studios (X360)",0,"Co-op, multiplayer"
Kingdom Hearts HD 1.5 Remix,Square Enix 1st Production Department[1],Square Enix,0,Single-player
Tales of Xillia,Namco Tales Studio,Namco Bandai Games,0,"Single player, co-op"
Guacamelee!,Drinkbox Studios,"Drinkbox Studios,
Activision (Xbox 360)[1]",0,"Single-player, co-op"
The Last of Us,Naughty Dog,Sony Computer Entertainment,0,"Single-player, multiplayer"
Final Fantasy XI,"Square Product Development Division 3 (pre-April 1, 2003)[1]
Square Enix Product Development Division 3[1]","PlayStation 2
Sony Computer Entertainment
Microsoft Windows & Xbox 360
Square (pre-April 1, 2003)
Square Enix",0,Multiplayer
Ace Combat: Assault Horizon,"Namco
QLOC (PC)",Namco Bandai Games,0,"Single-player, multiplayer"
Wii Party U,"Nd Cube
Nintendo SPD",Nintendo,0,"Single-player, multiplayer"
Atelier Ayesha: The Alchemist of Dusk,Gust,"JP Gust
WW Koei Tecmo",0,Single-player
Mars: War Logs,Spiders,Focus Home Interactive,0,Single-player
Dead Space 3,Visceral Games,Electronic Arts,0,"Single-player, multiplayer (co-op)"
Trine 2,Frozenbyte,"Frozenbyte
Atlus (PS3 and XB360)
JP Nintendo",0,"Single-player, Co-op, local and online multiplayer modes"
Costume Quest,Double Fine Productions,"THQ (2011-2013)
Nordic Games (2013-present)
Double Fine Productions (2013-present)[1]",0,Single-player
Gone Home,The Fullbright Company,Midnight City (Wii U)[1],0,Single-player
Knack,SCE Japan Studio,Sony Computer Entertainment,0,"Single-player, co-op"
Castlevania: Lords of Shadow,"MercurySteam
Kojima Productions
Climax Studios (PC)",Konami,0,Single-player
