title,developer,publisher,release_date,mode,box_art_url
Luftrausers,Vlambeer,Devolver Digital,03/18/14,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Luftrausers_logo.png/220px-Luftrausers_logo.png
Driveclub,Evolution Studios,Sony Computer Entertainment,10/07/14,"Single-player, online multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/Driveclub_box_art.jpg/250px-Driveclub_box_art.jpg
PixelJunk Shooter,"Q-Games
Double Eleven","JP Q-Games
NA SCEA
PAL SCEE",12/24/09,"Single-player, cooperative multiplayer",https://upload.wikimedia.org/wikipedia/en/9/95/Pixeljunk_shooter.jpg
The Witness,"Thekla, Inc.","Thekla, Inc.",No data,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/The_witness_poster.jpg/250px-The_witness_poster.jpg
Dawngate,Waystone Games,Electronic Arts,No data,Multiplayer,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Dawngatelogo.png/256px-Dawngatelogo.png
Diablo III,Blizzard Entertainment,"Blizzard Entertainment

JP Square Enix",05/15/12,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/8/80/Diablo_III_cover.png
Terraria,"Re-Logic
Engine Software 
Codeglue ","Re-Logic
505 Games
Spike Chunsoft ",05/16/11,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/4/42/TerrariaLogo2.png
Slender: The Arrival,Blue Isle Studios,"Blue Isle Studios
Midnight City ",03/26/13,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Slender_The_Arrival_website_logo.png/300px-Slender_The_Arrival_website_logo.png
htoL#NiQ,Nippon Ichi Software,Nippon Ichi Software,06/19/14,No data,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Hotaru_no_Nikki_logo.jpg/230px-Hotaru_no_Nikki_logo.jpg
Outland,Housemarque,Ubisoft,04/27/11,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/8/8a/Outland_cover.jpg
Plants vs. Zombies: Garden Warfare,PopCap Games,Electronic Arts,06/24/14,Multiplayer,https://upload.wikimedia.org/wikipedia/en/4/48/Plants_vs._zombies_Garden_Warfare_cover.jpg
Deus Ex: The Fall,"Eidos Montreal
N-Fusion Interactive",Square Enix,07/11/13,Single-player,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Deus_Ex_-The_Fall_%28logo%29.png/170px-Deus_Ex_-The_Fall_%28logo%29.png
Alien: Isolation,The Creative Assembly,Sega,10/07/14,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Alien_Isolation.jpg/250px-Alien_Isolation.jpg
Angry Birds Stella,Rovio Entertainment,Rovio Entertainment,09/04/14,Single-player,https://upload.wikimedia.org/wikipedia/en/a/a4/ABstellaicon.png
Donkey Kong Country: Tropical Freeze,"Retro Studios,
Monster Games,
Nintendo SPD",Nintendo,02/13/14,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/f/fb/DKC5_box_art.jpg
Poptropica,Jeff Kinney Group,Family Education Network,07/01/07,Single and multiplayer,https://upload.wikimedia.org/wikipedia/en/d/df/PoptropicaLogo.gif
"Modern Combat:
Sandstorm",Gameloft,Gameloft,08/27/09,"Single player, Multiplayer",https://upload.wikimedia.org/wikipedia/en/3/39/Modern_Combat_Sandstorm.png
Grid Autosport,Codemasters,Codemasters,06/24/14,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/5/58/Grid_autosport.png/256px-Grid_autosport.png
